StudentID,Name,Math,Science,English,History,Computer
S10000,Brianna Smith,47,85,67,68,100
S10001,Rebecca Vargas,40,94,42,66,90
S10002,Christopher Taylor,71,59,30,88,100
S10003,Jared Riley,72,78,32,38,100
S10004,Kevin Huff,87,79,84,53,97
S10005,Tanya Juarez,80,95,38,66,51
S10006,Bobby Stevenson,60,71,95,99,55
S10007,Steven Jackson,96,51,38,49,100
S10008,Valerie Smith,31,85,42,73,63
S10009,Ryan Aguilar,59,96,44,96,59
S10010,Catherine Garcia,65,39,62,66,66
S10011,Ruth Zimmerman,38,96,99,97,62
S10012,Joseph Smith,83,84,37,75,100
S10013,Teresa Blake,48,55,93,67,53
S10014,Christina Jimenez,60,58,72,38,100
S10015,Larry Ramsey,95,66,67,67,86
S10016,Jacqueline Owens,48,90,85,57,77
S10017,Anthony Cook,94,51,51,86,100
S10018,Danielle Martinez,40,97,37,33,68
S10019,David Evans,66,37,93,65,75
S10020,Stephen Hill,79,44,60,94,100
S10021,Brittany Ryan,74,50,90,82,100
S10022,Karen Jenkins,54,40,95,98,100
S10023,Alexandria Garrett,87,57,55,95,100
S10024,Anthony Alexander,86,83,92,33,74
S10025,Alexander Campbell,56,39,58,58,59
S10026,Charles Wolfe,74,85,93,50,100
S10027,Joshua Warner,37,71,50,90,65
S10028,Pamela Richardson,86,38,50,72,100
S10029,Luis Butler Jr.,88,48,48,43,85
S10030,Christopher Smith,34,32,58,32,84
S10031,Angela Rice,83,83,45,44,90
S10032,Charlene Rose,41,38,55,83,100
S10033,Susan White,64,57,82,36,69
S10034,Angela Rodriguez,58,73,44,77,88
S10035,Ray Diaz,46,66,43,63,100
S10036,Lauren Taylor,92,97,76,89,58
S10037,Gabriel Chung,57,35,86,74,50
S10038,Kerry Walters,61,82,61,40,97
S10039,Teresa Alexander,52,81,47,81,100
S10040,Tamara Hernandez,64,69,31,66,95
S10041,Timothy Gonzalez,69,41,94,64,100
S10042,Tom Gonzalez MD,45,56,41,88,63
S10043,Jonathon Beard,72,82,37,77,78
S10044,Connie Lee,79,40,66,84,79
S10045,Alexis Moore,54,36,84,71,56
S10046,Nathan Crawford III,39,42,36,63,90
S10047,Benjamin Reed,60,97,33,98,51
S10048,Jeffrey Ortiz,88,66,83,58,100
S10049,Joseph Morse,33,33,45,50,95
S10050,Andrew Brady,60,78,81,59,91
S10051,Jared Duran,35,53,69,72,74
S10052,Michael Thompson,81,91,45,62,61
S10053,Hannah Gregory,64,84,56,86,100
S10054,Ms. Jacqueline Graham,94,85,97,59,90
S10055,Caleb Brown,91,90,85,77,100
S10056,Louis Howard,41,37,55,47,75
S10057,Lauren Michael,34,57,30,73,51
S10058,Justin Henderson,74,94,32,95,60
S10059,Jacqueline Liu,83,98,44,77,100
S10060,Clayton Howard,64,56,64,45,100
S10061,Julie Sims,82,94,47,52,89
S10062,Cheryl Flores,75,74,99,53,100
S10063,Natalie Patterson,74,52,76,76,96
S10064,Jessica Fisher,68,99,47,74,100
S10065,Craig Rodriguez,86,81,85,58,100
S10066,Scott Smith,71,76,31,76,100
S10067,Stephanie Allen,46,31,77,59,61
S10068,Meagan Harris,73,78,32,62,74
S10069,Alyssa Gill,40,50,43,55,72
S10070,Meredith Anderson,59,89,91,37,66
S10071,William Murphy,67,83,66,71,65
S10072,Samantha Brown,31,38,60,50,54
S10073,John Moore,65,72,89,53,67
S10074,Christine Carter,35,90,70,82,87
S10075,Laura Mitchell,77,49,79,78,80
S10076,Juan Lynn,75,45,75,31,100
S10077,Candace Fox,48,58,31,98,69
S10078,Tina Holder,68,80,92,59,97
S10079,James Hall,96,94,99,62,83
S10080,Christopher Fritz,33,55,96,56,73
S10081,Dana Robinson,92,80,79,59,72
S10082,Michael Jones,30,74,75,82,92
S10083,Melissa Wilson,78,33,36,49,60
S10084,Adam Sullivan,65,65,66,44,81
S10085,Savannah Brown,99,86,66,74,93
S10086,Bonnie Foster,30,79,47,80,100
S10087,Cynthia Ruiz,93,96,48,65,100
S10088,Courtney Villegas,72,73,68,70,100
S10089,Jennifer Stevens,58,55,68,93,90
S10090,Diana Fields,47,64,34,83,100
S10091,Rhonda Valenzuela,60,74,85,86,100
S10092,Joseph Silva,57,51,52,89,82
S10093,Kimberly Thompson,32,33,91,59,100
S10094,Shane Gardner,46,58,89,64,70
S10095,Whitney Nguyen,74,36,57,74,100
S10096,Madison Mann,39,65,55,66,71
S10097,Mrs. Rebekah Snyder DVM,75,60,67,80,54
S10098,Daniel Palmer,35,47,85,62,100
S10099,Jennifer Robbins,57,40,49,80,67
S10100,Catherine Williams,68,97,79,65,71
S10101,Jonathan Martinez,35,52,66,38,63
S10102,Scott Guzman,45,89,33,79,91
S10103,Haley Lewis,57,74,49,98,100
S10104,Carla Ramirez,78,84,70,46,57
S10105,Nancy Cox,58,98,40,60,76
S10106,Daniel Thompson,74,47,60,88,100
S10107,Christine Smith,76,63,41,76,100
S10108,Troy Mcdaniel,97,32,58,55,75
S10109,Sara Guzman,89,32,57,39,86
S10110,Nicole Shepherd,56,31,48,56,66
S10111,Amy Sullivan,30,58,38,56,64
S10112,Rebecca Morales,74,64,86,73,58
S10113,Cory Austin,68,53,79,98,74
S10114,Alyssa Williams,89,95,74,53,100
S10115,Jamie Gardner,74,65,78,94,100
S10116,Rachel Poole,70,32,45,45,96
S10117,Nichole Stark,45,38,41,60,100
S10118,Brenda Gallagher,89,47,61,48,60
S10119,Rachel Soto,32,77,93,60,66
S10120,James Smith,44,88,46,71,95
S10121,Victor Smith,85,71,96,97,100
S10122,Taylor Wright,40,32,81,95,55
S10123,Russell Lawson,53,41,88,53,98
S10124,Billy Lee,81,68,79,64,66
S10125,Kristine Conrad,76,59,48,51,100
S10126,Sarah Richardson,49,32,30,41,58
S10127,Connie Davis,64,69,85,57,79
S10128,Sarah Osborn,89,95,63,65,68
S10129,Tim Lutz,76,97,92,60,100
S10130,Jason Guerrero,31,91,65,71,68
S10131,Robert Mccoy,52,94,37,52,95
S10132,Sheila Greene,99,49,53,79,68
S10133,Collin Richmond,40,30,89,75,100
S10134,Michael Brooks,52,76,81,91,84
S10135,William Morris,80,48,87,36,85
S10136,Sydney Rush,43,58,52,71,66
S10137,Connor Cole,85,80,31,46,75
S10138,Christina Nguyen,89,37,39,94,93
S10139,Ronald Evans,41,77,59,94,100
S10140,Andrea Spencer,87,44,95,37,67
S10141,Frank Hughes,84,90,30,94,100
S10142,Mckenzie Thomas,67,85,96,91,100
S10143,David Dawson,69,51,88,41,59
S10144,Luis Adkins,45,38,52,87,73
S10145,Jonathan Kirk,48,78,85,66,64
S10146,William Hernandez,68,68,36,63,100
S10147,Dr. Andrew Myers DDS,70,34,64,90,55
S10148,Stephen Rodriguez,64,77,48,87,55
S10149,Jessica Gallegos,80,80,78,75,71
S10150,James Brown,40,33,91,82,100
S10151,Michael Lewis,68,32,93,47,63
S10152,Nicholas Floyd,33,82,58,73,67
S10153,James Neal,57,82,59,96,90
S10154,Kyle Thomas,55,70,31,96,100
S10155,Terri Lang,78,37,47,51,51
S10156,David Salinas,56,77,46,90,81
S10157,Andrea Bray,74,36,34,74,57
S10158,Jeffrey Gill,64,50,56,54,74
S10159,Erica Bender,54,45,94,58,100
S10160,Bradley White,79,78,75,59,80
S10161,Cynthia Gomez,34,68,52,53,100
S10162,Laura Woodward,71,81,44,84,55
S10163,Carol Chavez,36,87,49,84,96
S10164,Nicole Good,53,41,97,51,100
S10165,David Torres,99,73,66,68,92
S10166,Steven Harris,40,83,50,43,67
S10167,Danny Johnson,93,31,65,84,100
S10168,Sara Marshall,61,97,88,60,85
S10169,Martin Reynolds,60,84,50,30,51
S10170,Trevor Miller,77,47,30,67,85
S10171,Mary Sanders,80,34,79,62,58
